ID	ERR1971003_profiled_metagenome	ERR1971004_profiled_metagenome	ERR1971005_profiled_metagenome	ERR1971006_profiled_metagenome	ERR1971007_profiled_metagenome	ERR1971008_profiled_metagenome	ERR1971009_profiled_metagenome	ERR1971010_profiled_metagenome	ERR1971011_profiled_metagenome	ERR1971012_profiled_metagenome	ERR1971013_profiled_metagenome	ERR1971014_profiled_metagenome	ERR1971015_profiled_metagenome	ERR1971016_profiled_metagenome	ERR1971017_profiled_metagenome	ERR1971018_profiled_metagenome	ERR1971019_profiled_metagenome	ERR1971020_profiled_metagenome	ERR1971021_profiled_metagenome	ERR1971022_profiled_metagenome	ERR1971023_profiled_metagenome	ERR1971024_profiled_metagenome	ERR1971025_profiled_metagenome	ERR1971026_profiled_metagenome	ERR1971027_profiled_metagenome	ERR1971028_profiled_metagenome	ERR1971029_profiled_metagenome	ERR1971030_profiled_metagenome	ERR1971031_profiled_metagenome
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00589	0.00722	0.0	0.00838	0.01955	0.0046	0.00859	0.00337	0.00118	0.03116	0.0	0.00013	0.0	0.00078	0.0	0.0068	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.00084	0.00124	0.0	0.00093	0.00026	0.00119
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.00589	0.00722	0.0	0.00838	0.01955	0.0046	0.00859	0.00337	0.0	0.0239	0.0	0.00013	0.0	0.0	0.0	0.0068	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.00084	0.00124	0.0	0.00093	0.00026	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00589	0.00722	0.0	0.00838	0.01955	0.0046	0.00859	0.00337	0.0	0.0239	0.0	0.00013	0.0	0.0	0.0	0.0068	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.00084	0.00124	0.0	0.00093	0.00026	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.00175	0.0	0.0	0.0	0.01233	0.0	0.00155	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.0	0.0068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified	0.00175	0.0	0.0	0.0	0.01233	0.0	0.00155	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.0	0.0068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.00414	0.00722	0.0	0.00838	0.00514	0.0046	0.00704	0.00337	0.0	0.0239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.00084	0.0	0.0	0.00093	0.00026	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0.00414	0.00722	0.0	0.00838	0.00514	0.0046	0.00704	0.00337	0.0	0.0239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.00084	0.0	0.0	0.00093	0.00026	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	0.0	0.0	0.0	0.0	0.00208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus|t__GCF_000175315	0.0	0.0	0.0	0.0	0.00208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00118	0.00727	0.0	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00118	0.00727	0.0	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa|t__Rothia_dentocariosa_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00727	0.0	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00727	0.0	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00119
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00119
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	8.70181	9.46856	9.03437	11.97794	4.0445	25.09509	0.04141	0.57099	2.82152	6.21576	0.0009	1.01057	0.57621	1.19656	1.17028	0.28926	0.74064	0.00745	0.06998	0.0	1.82925	0.5467	0.60542	2.38998	0.98921	1.92473	0.00661	0.13173	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	8.70181	9.46856	9.03437	11.97794	4.0445	25.09509	0.04141	0.57099	2.82152	6.21576	0.0009	1.01057	0.57621	1.19656	1.17028	0.28926	0.74064	0.00745	0.06998	0.0	1.82925	0.5467	0.60542	2.38998	0.98921	1.92473	0.00661	0.13173	0.0
